Geneid	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Mir5107	0	0	0	9	0	0	1	0	2
Tcof1	1383	1348	1335	1712	665	1084	2342	2260	2288
Arsi	0	0	0	0	32	44	9	0	2
Camk2a	122	127	126	91	121	183	33	40	20
Mir7220	0	0	0	0	0	0	0	0	1
Mir6982	0	0	0	0	2	0	0	0	0
Slc6a7	0	0	1	21	81	13	21	0	0
Cdx1	1	0	0	5	42	30	0	0	3
Pdgfrb	26	2	8	11	122	44	96	49	52
Csf1r	0	1	5	2	73	71	57	3	11
Mir6983	0	0	0	0	0	0	0	0	0
Hmgxb3	3069	3154	3240	3121	954	1526	3427	2850	3385
Slc26a2	1372	1479	1372	1073	418	653	1045	728	1025
Pde6a	27	29	69	33	81	47	11	0	16
Ppargc1b	200	181	189	170	157	142	207	170	133
A530050N04Rik	5	4	1	0	14	30	2	0	0
Arhgef37	165	147	141	148	101	83	204	153	187
Csnk1a1	15957	16136	15217	17226	6130	10192	17224	14482	18248
Bvht	26	8	8	23	17	19	17	20	12
Mir143hg	0	0	0	0	36	12	2	0	0
Mir145a	0	0	0	0	2	0	0	0	0
Mir143	0	0	0	0	3	0	0	0	0
Il17b	0	0	1	0	18	13	7	0	0
Pcyox1l	354	516	453	214	130	237	459	322	396
Grpel2	1433	1097	1081	1358	410	723	1498	1148	1250
1500015A07Rik	261	247	234	192	89	73	135	169	182
Afap1l1	3	10	5	9	70	56	27	8	18
Ablim3	9	7	9	10	98	38	11	7	5
Sh3tc2	5	1	1	4	75	140	39	12	14
Adrb2	4	1	1	9	32	0	9	0	14
Htr4	0	4	3	3	14	24	12	2	0
Fbxo38	3661	3175	3509	3988	1384	2743	4116	3399	4304
Spink10	9	20	5	4	5	10	22	7	12
Spink7	0	0	0	0	2	0	0	0	0
Spink13	2	6	6	2	5	0	0	0	0
2700046A07Rik	0	0	0	0	14	0	3	0	0
Apcdd1	811	840	823	564	218	331	699	563	803
Napg	2693	2494	2606	2729	887	1399	3106	2370	3011
Piezo2	16	4	21	14	119	60	41	20	7
Txnl1	6505	6497	5865	7526	2563	4279	7489	6118	7563
Wdr7	7684	6668	6374	6306	1873	3653	7229	5593	6558
St8sia3os	0	1	2	0	14	0	0	1	3
St8sia3	4002	3506	3372	2350	884	1258	3263	2621	3185
Onecut2	25630	20673	25586	14639	4862	7697	15479	10284	10315
Fech	3293	3457	3245	2475	938	1685	2878	2127	2978
Nars	5142	4311	4514	17999	5987	10319	18118	16649	19049
Atp8b1	13458	12936	12556	8144	2599	4767	5646	4070	5571
Nedd4l	3799	3339	3364	2931	977	1179	2148	1634	1999
Mir466p	0	0	0	0	6	0	0	0	0
Mir122	0	0	0	0	3	0	0	0	0
Alpk2	0	10	7	11	83	0	35	5	4
Malt1	932	749	764	958	329	428	949	710	813
Zfp532	407	366	411	466	216	223	700	443	672
Oacyl	8	10	11	5	50	42	16	0	3
Sec11c	1580	1521	1412	1324	485	720	2661	2197	2547
Grp	6	0	1	7	11	0	0	0	7
Rax	0	0	1	0	38	0	8	1	0
Cplx4	6	0	0	0	8	0	0	8	0
Lman1	11178	10892	10246	11749	4067	7062	19174	15823	18870
Ccbe1	4	9	24	2	78	25	14	5	13
Mir694	0	0	0	0	0	0	0	0	0
Pmaip1	0	0	2	7	21	0	7	4	16
Gm9926	6	2	9	5	29	0	5	13	8
Mc4r	0	0	0	0	21	28	15	0	1
Gm19784	4	0	0	5	3	12	3	0	0
Gnal	56	58	90	84	84	98	106	57	91
Chmp1b	2020	1727	1807	1702	634	1018	2070	2063	2610
Mppe1	329	259	313	239	107	43	249	242	230
Impa2	108	115	82	71	58	95	46	56	74
B430212C06Rik	0	0	2	0	20	0	4	0	4
Cidea	0	9	14	0	22	42	7	27	33
Tubb6	2335	2872	2425	1466	630	1031	1952	1592	1965
Afg3l2	2281	2386	2419	2030	733	1155	2411	2019	2646
Slmo1	323	268	277	499	177	390	337	213	344
Spire1	4489	4518	4517	4769	1659	2972	4627	3549	4806
Cep76	2747	2363	2309	3008	893	1714	2580	2351	2653
Psmg2	789	864	821	962	319	604	1357	1159	1245
Ptpn2	2667	2222	2249	2807	978	1389	2753	2586	2490
Seh1l	7697	7505	7411	8110	2873	4492	8367	7010	8947
4930549G23Rik	18	17	17	8	12	0	11	10	33
Cep192	4988	3803	4209	5045	1543	2926	4821	3360	4025
Ldlrad4	493	521	471	479	128	219	299	236	313
Fam210a	2516	2264	2457	2892	964	1625	3164	2559	3196
Mir7219	0	0	0	0	0	0	0	0	0
Rnmt	1778	1512	1575	1861	704	1266	2222	1934	2158
Mc5r	0	0	1	5	11	13	5	3	7
Mc2r	3	0	0	0	20	0	4	13	0
Mir6356	0	0	0	0	0	0	0	0	0
4930546C10Rik	0	0	0	2	14	18	4	0	0
Mir145b	0	0	0	0	0	0	0	0	0
Tcf4	9959	8750	9265	8308	2893	4592	7656	5665	7024
Ccdc68	0	3	11	0	13	40	2	0	2
Rab27b	22	45	31	2	42	10	11	18	14
Dynap	0	0	0	0	1	20	0	0	0
4930503L19Rik	2181	1293	1628	2316	674	1520	2180	1652	1833
Stard6	295	217	320	212	86	190	381	290	311
Poli	624	488	560	609	241	505	625	505	516
Mir6357	0	0	0	0	0	0	0	0	0
Mbd2	6117	6088	6375	5504	1927	3140	5530	5051	6195
Dcc	147	96	73	87	86	83	216	152	127
Mex3c	4837	4224	4389	7884	2282	4421	9521	8421	10479
Smad4	3495	3359	3397	3314	1168	1779	3735	2945	3977
Elac1	1014	792	958	826	351	626	944	796	1020
Me2	3456	3553	3156	2646	820	1864	2917	2472	3101
Mro	142	81	83	71	58	36	41	59	54
Mapk4	1236	1303	1265	1462	454	740	1832	1398	1739
D730045A05Rik	28	12	19	51	34	57	25	36	33
Ska1	436	391	373	562	172	321	327	382	275
Cxxc1	2323	1811	1830	2030	847	1158	2557	1965	2501
Mbd1	1952	1502	1644	2142	650	1273	2168	1562	1985
Cfap53	34	21	38	30	24	42	43	50	29
Myo5b	38	45	91	56	131	151	100	72	89
1700120E14Rik	0	2	0	5	14	36	0	0	0
Scarna17	24	22	29	25	12	37	29	38	36
Acaa2	193	282	271	173	60	137	191	136	305
Lipg	2	13	13	18	33	25	5	24	23
9030625G05Rik	5	1	1	0	15	0	2	0	0
Rpl17	5762	6300	5397	4255	1650	3062	5941	5754	7525
BC031181	2363	2919	2609	1993	768	1227	2612	2263	2666
Dym	2027	1961	1956	1845	658	1190	2234	1785	2278
2010010A06Rik	0	3	2	8	31	11	3	0	3
Smad7	987	1083	952	1312	559	1029	1632	1427	1748
Ctif	1712	1827	1823	1670	636	1082	1657	1444	1618
Gm10532	16	15	3	14	31	20	24	1	8
Zbtb7c	14	17	7	18	66	59	19	5	23
2900057B20Rik	0	0	0	0	1	0	0	0	0
Mir6358	0	0	0	0	0	0	0	0	0
Smad2	3424	3356	3194	3557	1191	2430	3322	2734	3579
Skor2	4	0	1	0	45	0	13	0	0
Ier3ip1	1915	2121	1932	1429	599	982	2078	1538	2220
Hdhd2	1221	901	1025	914	316	465	1165	878	1226
Katnal2	467	512	470	427	168	365	409	351	410
Pias2	6308	5297	5578	5523	1862	3174	5091	3971	5136
St8sia5	1165	1211	1196	1002	382	637	853	575	888
Loxhd1	0	2	5	6	114	51	28	9	4
Rnf165	234	248	325	201	153	122	255	146	188
8030462N17Rik	2563	2248	2301	3191	1034	1971	2920	2478	3080
4930465K10Rik	8	15	7	25	22	64	14	8	7
Haus1	736	682	658	560	232	389	735	696	691
Atp5a1	18356	21811	19579	15107	5441	9336	16062	15038	18803
Pstpip2	1278	1009	1065	1488	542	881	1561	1269	1419
Epg5	4305	3742	4078	5339	1718	2984	6864	5097	5219
Siglec15	0	0	0	0	18	0	6	0	0
Slc14a1	4	3	4	5	46	32	3	5	1
Slc14a2	975	1078	1184	1035	407	703	341	226	310
Setbp1	4289	4072	4172	5014	1562	2518	3704	2989	3397
Pard6g	617	651	737	396	191	298	344	280	373
Adnp2	2484	2671	2630	3130	1051	1738	3017	2422	2866
LOC105246506	33	20	7	38	27	17	27	12	23
Rbfa	523	679	552	516	254	355	571	536	729
Txnl4a	2819	3073	2861	3267	1122	1799	3708	3265	4067
Hsbp1l1	295	282	268	268	74	129	113	78	155
Pqlc1	397	439	394	460	225	443	508	390	541
Kcng2	3	11	8	5	34	20	6	0	3
Ctdp1	1312	1156	1212	1265	477	690	1472	1144	1339
Gm2176	0	0	1	0	24	0	1	0	0
Nfatc1	125	169	159	160	159	72	352	294	330
Atp9b	3665	2892	3306	3837	1274	2199	3136	2563	2985
Sall3	0	3	1	16	84	64	10	17	4
Mir5127	0	0	0	0	1	0	0	0	0
Galr1	4233	3614	3673	2471	694	1665	1705	1159	1583
Mbp	4551	5502	5127	4244	1673	3142	2779	2148	3054
Zfp236	2959	2634	2871	2897	958	1187	2868	2280	2712
Mir5112	0	0	0	0	3	0	0	0	1
2210420H20Rik	0	0	2	0	16	0	0	0	0
4930445N18Rik	0	11	7	5	9	3	0	0	15
Zfp516	12646	12888	13630	11787	4271	7321	9891	8297	9396
4930592I03Rik	6	7	5	6	12	0	12	0	8
4921531P14Rik	0	0	0	0	0	0	0	0	0
Tshz1	18177	19897	19406	12775	4788	7760	9818	8282	10454
Zadh2	2745	3031	2877	1758	615	1224	1471	1251	1658
Zfp407	1891	1535	1765	1982	654	950	2065	1607	2002
Cndp1	4	0	1	1	43	26	0	0	0
Cndp2	866	953	799	709	315	492	893	882	1053
Fam69c	0	1	0	8	39	0	3	0	0
Cyb5a	415	397	429	314	137	280	610	357	582
Fbxo15	3	0	1	1	9	12	5	0	2
Timm21	418	298	310	493	129	175	641	593	689
Neto1	74	64	79	43	37	18	73	81	66
Cbln2	355	364	386	270	178	177	631	604	693
Socs6	1429	1392	1305	1339	517	742	1539	1287	1695
Rttn	855	695	888	850	304	593	1194	874	924
Mir6359	3	0	0	0	1	0	0	0	0
Cd226	0	2	4	5	3	2	3	15	3
Dok6	17	45	39	69	27	54	94	87	119
Tmx3	6630	6068	6480	4838	1639	2655	7898	5793	8058
1700030N03Rik	0	0	0	0	4	0	0	0	0
Ighmbp2	557	390	541	604	239	413	608	476	618
Mrpl21	459	555	567	488	225	351	776	640	874
Mir6984	0	0	0	0	0	0	0	0	4
Cpt1a	2364	2359	2317	2234	886	1780	2638	2408	2810
Mtl5	74	45	47	43	66	0	31	14	23
Gal	0	0	0	0	13	21	1	0	1
Ppp6r3	10929	10388	10094	11307	3477	6270	9932	8065	10375
Lrp5	1896	2090	2056	1206	568	1050	1649	1398	1848
1810055G02Rik	1024	1000	896	903	276	555	741	570	916
Suv420h1	2884	2427	2621	3438	1062	1530	4649	3821	4185
Chka	3062	2248	2733	3681	1081	1639	5812	4869	5478
Tcirg1	273	280	355	242	170	156	257	272	260
Ndufs8	1117	1201	998	686	331	419	1047	950	1110
Aldh3b1	13	16	22	4	54	15	37	13	12
Unc93b1	122	137	163	81	81	153	283	196	264
Aldh3b3	0	1	0	10	25	0	5	14	0
Aldh3b2	2	0	4	20	28	22	5	2	5
Acy3	8	12	13	10	29	33	24	2	16
Tbx10	0	0	6	20	41	0	5	5	4
Nudt8	192	192	176	186	106	173	365	235	316
Doc2g	56	37	64	97	70	49	141	105	107
Ndufv1	2096	2560	2215	1891	730	1092	2347	2097	2671
Gstp1	1469	1815	1653	961	379	492	2292	2127	2416
Gstp2	0	4	4	0	5	0	10	12	5
BC021614	3	3	1	0	17	0	68	9	74
Cabp2	0	2	0	7	33	75	8	0	1
Cdk2ap2	1143	1088	883	1384	470	892	1918	1345	1908
Pitpnm1	4758	4292	4590	5548	1991	3293	5294	4112	4736
Aip	1321	1550	1380	957	406	869	1295	1146	1400
Tmem134	1377	1459	1347	1082	445	625	1357	1128	1383
Cabp4	0	0	3	2	18	0	0	0	0
Gpr152	11	2	2	15	78	32	17	10	5
Coro1b	2950	2881	2619	2208	707	1331	3114	2387	2937
Ptprcap	6	5	2	6	18	33	13	12	5
Rps6kb2	1428	956	1195	1271	445	928	1528	1003	1124
Carns1	74	87	91	63	99	18	81	70	66
Tbc1d10c	9	25	15	13	36	60	10	17	6
Ppp1ca	8957	10034	8120	6887	2422	4648	8380	6817	9156
Rad9a	635	622	666	915	307	402	963	994	1009
Clcf1	14	12	20	30	30	18	54	36	52
Clcf1-pold4	0	0	0	0	0	0	0	0	0
Pold4	127	75	82	72	40	74	87	47	86
Ssh3	1238	919	1054	950	381	478	1299	950	1065
Mir6985	0	0	0	0	0	0	0	0	0
Ankrd13d	472	349	425	298	176	214	374	254	337
Adrbk1	4559	4579	4196	3760	1411	2229	4025	3305	4214
Kdm2a	9576	9198	9611	9074	2998	5068	8095	6519	8081
Rhod	144	165	153	134	109	59	188	85	162
A930001C03Rik	2	10	17	16	35	0	5	0	15
Syt12	60	96	78	82	43	34	141	127	121
2010003K11Rik	1	3	1	7	11	0	6	6	1
Pcx	5773	6442	5548	3683	1519	2387	2922	2420	3164
Lrfn4	2123	2190	1921	1815	580	825	1435	1077	1534
Rce1	947	890	759	1048	352	707	1075	810	1025
Mir6986	0	0	0	0	0	0	1	0	0
Gm960	48	59	58	54	60	70	79	88	55
Sptbn2	715	1079	1076	546	367	633	654	490	649
Rbm4b	558	575	641	492	244	407	587	321	548
Gm21992	1	3	8	1	4	0	3	0	9
Rbm4	380	349	306	382	101	236	357	348	305
Rbm14	2398	2326	1885	1860	620	1156	2670	1933	2185
Ccs	277	277	252	216	103	36	297	273	332
Ccdc87	7	11	11	8	39	81	24	7	10
Ctsf	2592	2491	2487	1611	689	854	1445	1212	1644
Actn3	42	36	25	14	86	69	29	34	20
Zdhhc24	756	735	926	903	350	604	982	773	912
Bbs1	2280	2169	2284	1829	668	1300	2037	1443	1824
Dpp3	2262	2146	2073	2200	831	1476	3471	2627	2996
Peli3	167	183	229	211	91	130	160	127	175
Mrpl11	1350	1430	1248	933	336	674	1332	1082	1378
Npas4	722	251	400	1087	310	406	1457	725	612
Slc29a2	112	96	113	141	110	92	190	138	176
B4gat1	1167	1276	1197	737	291	501	930	778	1067
Brms1	488	454	433	386	191	322	634	455	623
Rin1	92	57	110	122	140	93	205	165	128
Cd248	63	125	91	53	61	92	47	9	48
Tmem151a	326	481	467	383	141	372	437	370	589
Yif1a	1204	1091	1097	1045	332	913	1626	1391	1602
Cnih2	1394	1502	1432	641	267	565	354	213	377
Rab1b	3245	3695	3170	2128	750	1606	2597	1774	2809
Klc2	2774	3056	3009	2765	1056	1761	2590	2494	2888
Pacs1	2711	2666	2552	1959	720	1183	1811	1237	1732
Sf3b2	8771	9250	8814	8398	3011	5125	8628	7843	9409
Gal3st3	0	1	3	3	47	35	18	4	3
Catsper1	0	2	2	3	33	3	13	0	0
Cst6	15	26	26	36	31	56	37	36	37
Banf1	2042	2291	1884	1305	595	951	1785	1732	2138
Eif1ad	2148	1948	1886	2793	880	1820	2448	2235	2843
Sart1	1720	1488	1781	2093	789	1229	2408	2396	2430
D330050I16Rik	156	105	109	122	73	117	104	96	133
4930481A15Rik	117	146	123	138	92	138	226	175	193
Drap1	2570	2953	2344	1822	661	1364	2365	2070	2348
AI837181	725	850	722	613	296	383	832	695	818
Fosl1	0	7	6	88	34	38	22	27	23
Ccdc85b	373	290	320	305	125	169	389	246	303
Fibp	904	789	791	795	291	558	1150	865	1086
Ctsw	16	8	1	2	21	25	14	1	4
Efemp2	264	245	304	153	126	38	270	217	357
Mus81	855	660	810	925	355	443	900	737	811
Cfl1	15522	18588	16511	9547	3612	6388	11408	9464	13319
Snx32	866	481	691	696	298	442	793	703	567
1700020D05Rik	111	43	67	67	27	29	136	131	91
Ovol1	16	9	10	17	46	24	17	11	22
Ap5b1	583	552	584	364	182	268	593	410	460
Rnaseh2c	407	437	391	140	96	114	279	172	265
Kat5	2100	2379	2168	2664	940	1468	2490	2353	2590
Rela	1431	1340	1258	1817	578	1132	2066	1989	2268
Sipa1	549	503	572	400	282	398	493	243	441
Pcnxl3	4724	4130	4188	3959	1485	2204	5375	4219	4606
Mir6987	0	0	0	0	0	0	0	0	0
Map3k11	2105	2086	2053	2060	710	1505	2059	1780	2314
Kcnk7	3	0	8	14	26	25	0	0	0
Ehbp1l1	149	94	136	124	175	78	209	201	164
Fam89b	654	649	559	652	219	378	766	513	819
Sssca1	450	432	272	365	147	218	355	295	482
Ltbp3	2312	2188	2184	1767	770	1297	2404	1868	2032
Scyl1	3609	3243	3377	3837	1306	2361	3990	3302	4057
Malat1	676857	178375	505993	533127	137556	236996	635601	418302	330931
Neat1	53608	6304	29028	61426	12270	21760	49876	30366	18836
Frmd8	481	534	421	432	215	273	435	282	490
Slc25a45	0	2	1	1	27	39	4	4	1
Tigd3	260	301	255	259	115	146	209	177	168
Dpf2	3450	3228	3313	3875	1315	2699	4293	3607	3996
Cdc42ep2	69	50	72	45	71	49	44	34	57
Pola2	1978	1613	1821	2205	761	1200	2127	1450	1834
Slc22a20	0	0	2	6	55	19	4	10	0
Capn1	1004	1083	974	481	300	481	663	564	764
Gm10814	13	4	11	7	26	28	18	0	7
Syvn1	5611	5090	4722	6712	2214	3858	8798	7317	8121
Mir6988	0	0	0	0	0	0	0	0	0
Mrpl49	1387	1412	1280	1422	531	1096	1249	1212	1377
Fau	4214	4559	3429	2487	949	1766	3417	3108	3806
Znhit2	426	445	313	342	117	272	450	396	405
Tm7sf2	251	200	281	214	135	229	263	155	250
Vps51	1511	1676	1439	1241	525	896	1359	1289	1350
BC048609	10	4	11	18	17	0	17	0	14
Zfpl1	1054	812	879	949	367	523	1042	781	1053
Cdca5	630	633	701	859	306	497	354	318	470
Naaladl1	142	97	110	92	69	45	68	43	38
Sac3d1	253	310	258	212	130	162	308	256	415
Snx15	599	724	722	626	240	313	602	530	704
Arl2	1494	1556	1499	950	391	727	1229	865	1311
Batf2	0	0	0	0	21	12	4	0	1
1700123I01Rik	0	0	1	3	25	0	3	0	0
Gpha2	0	1	1	0	21	0	0	0	2
Ppp2r5b	1944	1794	1802	1865	717	1298	1844	1402	1814
Atg2a	1677	1435	1551	1495	649	707	2270	1594	1824
Mir194-2	0	0	0	0	1	9	4	0	0
Mir192	0	0	0	3	4	0	0	0	0
Ehd1	1287	1493	1217	1111	426	632	1132	1091	1352
Cdc42bpg	2322	2007	2204	2451	843	1543	2205	1929	2233
Men1	2139	2255	2131	1904	762	1039	2438	1980	2447
Map4k2	5917	4439	5152	4428	1554	3030	4054	3113	3163
Sf1	13787	12806	13676	17016	5450	8901	16009	13748	15432
Pygm	162	62	79	134	114	130	168	73	96
Rasgrp2	63	62	107	36	107	81	31	9	42
Nrxn2	4143	4841	4635	2499	1147	1911	2633	2077	2754
Slc22a12	6	3	2	1	49	17	5	0	1
Rps6ka4	724	930	797	616	259	469	867	731	760
Mir5046	0	0	0	0	0	0	0	0	0
Ccdc88b	22	17	25	24	153	70	31	22	18
Prdx5	950	1081	1039	633	275	501	675	518	837
Trmt112	908	1111	909	969	337	761	1250	1058	1383
Esrra	452	452	451	360	187	312	335	258	392
Mir6990	5	4	4	0	1	0	3	0	1
Tex40	4	4	1	4	27	0	0	0	6
Kcnk4	0	0	0	6	48	0	3	3	5
Gpr137	1099	1173	1197	1037	377	693	1069	902	1021
Bad	508	434	347	318	185	162	458	376	462
Plcb3	1188	852	1055	787	439	598	938	733	904
Ppp1r14b	2429	2475	1979	1298	510	616	2056	1403	2204
Fkbp2	1077	1134	1028	753	341	409	1350	1386	1516
Vegfb	2622	2491	2167	1622	573	816	2392	1766	2348
Dnajc4	512	387	420	387	175	295	604	517	568
Nudt22	309	308	265	270	128	157	280	213	289
Trpt1	234	172	230	174	102	168	256	187	200
Fermt3	58	37	37	37	76	24	64	60	36
Stip1	7811	8333	7471	6846	2461	4443	6793	6097	7663
Macrod1	170	205	180	121	77	91	138	119	158
Flrt1	926	1120	1299	805	365	559	1049	738	974
Otub1	4010	4055	3841	3012	1145	1811	3805	3151	4017
Cox8a	7938	9939	7263	4707	1783	3359	5880	4735	6095
Naa40	3058	2500	2747	2855	879	1430	2787	2257	2485
Rcor2	1095	1095	1282	1164	416	764	873	719	948
Mark2	5244	5223	5047	4967	1709	3603	5291	4395	5245
AI846148	534	532	613	511	280	469	626	669	641
1700105P06Rik	20	21	17	21	31	8	58	19	32
2700081O15Rik	2615	2622	2392	2506	804	1419	2582	1847	2733
Mir6991	0	0	4	2	1	0	0	0	2
Rtn3	22039	21675	20875	13462	4764	8242	15096	12562	16297
Snord118	0	0	0	0	1	0	0	0	0
Atl3	11505	11752	11303	9111	3133	5550	9830	7932	9960
Pla2g16	14	31	26	41	53	15	32	46	28
Lgals12	280	140	191	282	134	221	302	163	177
Hrasls5	0	8	2	0	8	25	2	4	0
Slc22a19	0	0	0	2	3	14	1	0	0
Slc22a26	0	0	0	0	1	0	0	0	0
Slc22a27	7	0	0	0	5	0	0	0	0
Slc22a28	0	0	2	11	3	9	1	2	0
Slc22a29	0	1	0	0	18	0	6	0	0
Slc22a30	3	0	0	0	3	30	0	0	0
Slc22a8	44	66	70	18	76	21	13	9	8
Slc22a6	0	0	0	0	39	0	0	0	0
9830166K06Rik	0	4	1	0	22	14	2	0	0
Chrm1	0	0	0	9	80	34	10	0	0
Slc3a2	5096	4805	4051	12378	3570	7511	12774	11238	13611
Snhg1	1536	1146	1306	3599	1111	2184	3975	3393	3865
Snord22	47	50	55	59	18	109	73	73	143
Wdr74	552	563	548	831	304	557	1070	1017	1078
1700092M07Rik	7	0	10	7	7	0	41	13	9
Stx5a	3283	2612	2679	4576	1436	2727	4889	4057	4408
Mir6992	0	0	1	12	4	11	0	11	1
Nxf1	5542	3890	4704	5294	1657	3262	6740	4802	5479
Tmem223	420	504	428	457	149	331	540	321	567
Tmem179b	624	575	499	583	240	393	752	565	533
Taf6l	700	672	614	509	258	179	655	480	576
Gm2518	218	139	139	197	92	88	188	145	175
Polr2g	1802	2191	2045	1674	558	1165	1793	1593	2014
Zbtb3	187	205	178	142	84	40	155	135	137
Ttc9c	2567	2195	2301	3577	1120	2122	3021	2505	3017
Hnrnpul2	9648	9237	9811	10500	3634	6167	9765	8940	10223
Gng3	1178	1491	1358	685	379	666	680	425	728
Bscl2	1793	1800	1800	1242	500	728	2428	1543	2118
Lrrn4cl	3	18	25	36	21	56	53	27	28
Ubxn1	1430	1783	1562	1555	549	1050	1905	1814	2191
Uqcc3	254	289	271	280	93	116	323	239	393
Lbhd1	0	0	1	0	9	0	0	0	0
5730408K05Rik	82	51	41	44	28	105	67	66	91
Mir5136	0	0	0	0	0	0	0	0	0
1810009A15Rik	31	19	7	15	15	25	22	21	15
Ints5	1773	1759	1761	1825	622	1214	1725	1569	1963
Ganab	18560	19059	17160	14918	5495	8702	22209	17664	22109
B3gat3	1482	1592	1388	1058	422	863	1492	990	1442
Rom1	560	639	532	381	147	178	516	441	477
Eml3	1848	1622	1629	1799	643	1352	1864	1406	1560
Mta2	3966	4233	4207	4741	1677	3073	4535	4087	4840
Tut1	740	699	675	860	303	392	945	863	995
Eef1g	9061	8704	8567	6523	2411	4260	11116	8586	11211
Ahnak	45	50	54	71	141	113	123	120	96
Mir6367	0	0	0	0	0	0	0	0	0
Scgb1a1	0	0	0	0	9	0	0	0	0
Asrgl1	918	993	967	680	268	443	813	491	842
Stxbp3-ps	0	1	1	4	11	0	4	0	2
Incenp	3914	3428	3446	3633	1270	2077	2596	2010	2245
Fth1	11954	14403	12229	8346	3248	5797	12124	10688	13797
Best1	0	0	1	2	57	24	5	0	0
Rab3il1	112	108	104	75	60	180	72	58	74
Fads3	143	152	186	135	105	278	718	717	913
Fads2	8608	9296	8492	9331	3310	6394	9928	7458	9937
Fads1	18466	18487	18376	21023	7740	13982	20371	15539	20222
Mir6993	3	8	14	5	1	0	11	12	5
Fen1	3945	4235	3652	3651	1263	2283	3273	2545	3567
Tmem258	2152	2071	1723	1405	527	953	2717	2373	2852
Myrf	122	81	98	82	185	83	63	77	116
Dagla	1028	1003	1113	821	394	824	939	611	906
Syt7	18435	20493	18240	9847	3966	6603	11879	9540	11363
Lrrc10b	2808	2722	2623	1703	670	1208	1008	1042	998
Ppp1r32	19	25	21	35	42	34	20	22	20
Sdhaf2	1271	1505	1312	1340	503	618	1420	1163	1505
Cpsf7	6330	4906	5511	6762	2113	3301	6702	5789	6341
Tmem216	200	261	220	268	98	103	321	252	286
Tmem138	901	608	614	754	238	433	697	579	665
Cyb561a3	637	540	560	391	170	290	491	348	463
Tkfc	720	663	678	583	232	337	875	682	753
Ddb1	18531	18367	17382	15236	4979	9019	18236	15562	18876
Vwce	15	9	21	42	114	46	24	0	7
4930524O05Rik	0	0	0	0	3	0	0	0	0
Pga5	5	1	4	0	33	17	5	5	0
2210404E10Rik	0	0	0	0	10	10	2	0	0
Vps37c	1465	1232	1230	1704	694	1198	1973	1589	2101
Cd5	0	0	5	6	80	7	5	0	0
A430093F15Rik	0	3	0	8	35	0	7	0	1
Cd6	0	4	2	6	69	45	3	0	0
Slc15a3	0	0	4	1	60	64	1	9	0
Tmem132a	1729	2051	1719	1117	451	807	1840	1270	1867
Tmem109	2326	2618	2112	1817	719	1332	2235	1769	2410
Prpf19	7161	7480	6570	7600	2504	4785	7511	5753	7459
Zp1	0	0	1	6	51	17	0	0	1
Ptgdr2	0	8	7	9	42	28	11	1	1
Ccdc86	843	846	818	1094	463	826	1129	1142	1371
Ms4a10	0	6	2	9	20	20	5	0	0
Ms4a15	0	2	0	5	48	18	4	0	0
Ms4a18	0	0	0	0	7	0	1	2	0
AW112010	9	3	5	0	1	0	1	0	5
Ms4a8a	0	1	1	0	17	0	0	15	0
1700017D01Rik	0	0	0	5	6	0	1	0	0
1700025F22Rik	0	0	0	0	3	0	0	0	0
Ms4a13	0	0	4	0	5	0	0	0	0
4930526L06Rik	0	0	0	0	9	0	1	0	0
Ms4a1	0	0	0	0	5	0	1	0	2
Ms4a5	0	0	0	0	8	0	0	0	0
Ms4a7	0	0	0	0	11	40	15	0	0
Ms4a4c	0	0	0	0	13	0	0	0	0
Ms4a4b	2	2	0	0	4	0	0	0	0
Ms4a6c	0	0	1	2	17	0	1	0	0
Gm8369	0	0	0	0	6	0	0	0	2
Ms4a6b	0	0	1	5	10	11	11	0	0
Ms4a4d	0	0	0	1	7	8	2	3	0
Ms4a6d	30	37	33	15	23	27	14	22	8
Ms4a2	0	0	5	3	14	0	2	4	1
Ms4a3	0	2	3	6	0	25	4	0	1
Oosp2	12	0	1	0	1	0	0	8	0
Oosp1	0	0	2	3	3	19	1	0	0
Oosp3	0	2	0	0	6	0	0	0	0
Gif	0	2	2	4	14	20	2	0	1
Mrpl16	1370	1298	1042	1007	346	490	1169	944	1307
Stx3	2094	1649	1827	1677	473	955	2840	1896	2338
Olfr1417	0	0	0	3	8	0	0	0	0
Olfr1418	0	0	1	4	5	13	0	0	0
Olfr1419	0	0	0	0	4	0	0	0	0
Olfr1420	0	0	0	0	2	0	1	0	0
Patl1	4332	3437	3782	3610	1223	2287	3440	2683	3352
Mir6994	7	0	4	1	3	0	0	0	0
Osbp	6107	5772	5721	8247	2553	4641	8654	7326	8149
Olfr1423	0	0	0	0	7	0	0	0	0
Olfr1424	0	0	0	0	1	0	0	0	0
Mir466f-1	0	0	0	0	2	0	0	0	0
Olfr1425	0	0	0	3	0	3	0	0	1
Olfr1426	0	0	0	0	0	9	0	0	0
Olfr1427	0	0	0	0	11	13	0	0	0
Olfr1428	0	0	0	0	7	0	0	0	0
Olfr76	0	0	0	5	0	0	0	0	0
Olfr1431	0	0	0	0	0	0	0	0	0
Olfr1432	0	0	0	1	10	0	0	0	0
